"ID","DeviceFlag4G","DataArpu","DataAllowanceContinuous","DataAllowanceOneShot","DeviceFlagSmartphone","MonthlyVoiceTrafficCount","MonthlySMSTrafficCount","CustomerAge","EstimatedDevicePrice","MonthlyDataTraffic","CustomerGender","CustomerExpatriate","Province","Region","ZipCode","ChurnScore","AirportConnectionsDuration","AirportConnectionsCount","StationConnectionsDuration","StationConnectionsCount","ParkingConnectionsDuration","ParkingConnectionsCount","File-Transfer","Games","Instant-Messaging-Applications","Mail","Music-Streaming","Network-Operation","P2P-Applications","Security","Streaming-Applications","Terminals","Unclassified","VoIP","Web-Applications","Product"
10930,1.0,0.15622082985070984,0.010513985334602693,"",1.0,0.018229166666666664,0.0016229712858926342,"(40, 50]",0.4457831325301205,0.011007017460686453,1.0,0.0,"BOLZANO-BOZEN","TRENTINO-ALTO ADIGE","39015",0.2042885082740686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Non-Customer"
10170,0.0,0.15508605384695165,0.054728855899831265,"",1.0,0.051432291666666664,0.0014981273408239699,"(20, 30]","",0.03938159694932085,0.0,0.0,"","","",0.0565499793188933,0.0,0.0,0.4653878231859883,0.343239849309335,0.059884896562451405,0.08633093525179857,0.025886440917282545,0.0011837723630909074,0.018200882940323872,0.01397090020542367,0.08184624070108518,0.00031676645128668994,0.007060348750262381,0.002620246821853312,0.07155071356435005,0.0,0.0018959931530267843,5.799546523683452e-05,0.7754096986667778,"Non-Customer"
1492,1.0,"","","",1.0,0.05859375,0.0012484394506866417,"(30, 40]",0.7228915662650603,0.03303076179482275,1.0,1.0,"","","",0.07513020183581118,0.0,0.0,0.0,0.0,0.0007777259293824857,0.07194244604316548,0.013423072595564944,4.173885991754783e-07,0.3368486252586824,0.0014098150255414993,0.03386041876825943,1.4240055718678283e-06,0.0,0.00022759068035455956,0.09943757354713202,0.0,0.012054557727881431,0.0035786827448437562,0.499157822257569,"Non-Customer"
7424,1.0,0.15508605384695165,0.004987126513949121,"",1.0,0.09700520833333333,0.0004993757802746567,"(50, 60]",0.39759036144578314,0.0029281606398791674,0.0,0.0,"BRESCIA","LOMBARDIA","25047",0.1916096264886179,0.0,0.0,0.0,0.0,0.0,0.0,0.00023627676706259327,0.0,0.5859885116804874,0.0057660171263054895,0.0,0.0,1.1134806408863923e-06,5.1608977719862237e-05,0.041474117300812345,0.0,0.05169195752716494,0.01326274653723086,0.3015276506025757,"V-Bag"
4332,1.0,0.15508605384695165,0.03814827943787055,"",1.0,0.03450520833333333,0.00037453183520599247,"(60, 70]",0.15662650602409642,0.001001956590910994,1.0,0.0,"VENEZIA","VENETO","30036",0.11996382056270098,0.0,0.0,0.0,0.0,0.0,0.0,0.009935528474847943,3.4154901220207296e-06,0.032808151817621915,0.004180217157703804,0.0,0.00010595836521149167,1.2266901142468821e-06,0.0007769578577045361,0.005974997084957352,0.0,0.0008565784645807272,0.019148758960317352,0.9262082096368186,"Non-Customer"
4483,1.0,0.15508605384695165,0.054728855899831265,"",1.0,0.001953125,0.0004993757802746567,"(50, 60]","",0.03666435449180814,0.0,0.0,"","","",0.06370569307266825,0.0,0.0,0.0316930775646372,0.11720385098367536,0.0,0.0,0.02062731216562439,1.1188237370703959e-06,0.006105776310077729,0.0006468507571972393,0.00010337550665649504,0.0,1.0116748484048081e-05,0.0005688915826162898,0.0706966245622604,0.0,0.003048280951434009,0.001291460225777998,0.8969001923661343,"Non-Customer"
7586,1.0,0.035019431513827796,0.010513985334602693,"",1.0,0.0,0.0,"(40, 50]",0.2891566265060241,0.0,0.0,0.0,"CATANIA","SICILIA","95121",0.029003174710381063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Non-Customer"
828,1.0,0.15470779517903227,0.010513985334602693,"",1.0,0.09244791666666666,0.0,"(20, 30]",0.3855421686746988,0.005903385015858744,1.0,0.0,"GENOVA","LIGURIA","16154",0.12598628377695514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Non-Customer"
12381,0.0,0.156086609033061,0.02477684680725707,"",1.0,0.030598958333333332,0.0,"(20, 30]","",0.029139312011711438,0.0,0.0,"ANCONA","MARCHE","60019",0.19265467533736572,0.0,0.0,0.0,0.0,1.0,1.0,0.02103401993577554,0.0013965241384398313,0.010712443349383323,0.006298433015487822,0.0798431541040404,0.001088769128004395,0.0032421463418238093,0.009175302155477648,0.1057680918062479,0.0,0.001331463090597302,3.587444461912496e-05,0.7600737784901029,"V-Pet"
6377,0.0,"",0.010513985334602693,"",1.0,0.047526041666666664,0.00449438202247191,"(70, 80]",0.13253012048192772,0.0076964977712272965,0.0,0.0,"MILANO","LOMBARDIA","20020",0.038038329031538115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Non-Customer"
511,1.0,0.15508605384695165,0.021567702975909833,"",1.0,0.1171875,0.0006242197253433209,"(20, 30]",0.4096385542168675,0.04123067795745718,1.0,0.0,"ROMA","LAZIO","00119",0.054235333026959036,0.04598160735705719,0.052083333333333356,0.0,0.0,0.0,0.0,0.003675500540185124,4.253962885373151e-05,0.03592100232308719,0.0007364472490646263,0.00017396535149838733,0.0,9.308983973699337e-06,7.971313287804268e-05,0.4811380271905146,0.0,0.00042544544986528244,0.001922284983151896,0.4758757651669274,"Non-Customer"
3517,0.0,"","","",0.0,"","","","","",0.0,0.0,"","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"V-Bag"
4723,1.0,0.2789657675905533,0.021567702975909833,"",1.0,0.052734375,0.0032459425717852684,"(70, 80]",0.0963855421686747,0.0014033922252796771,1.0,0.0,"ROMA","LAZIO","00141",0.06869069523060234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"V-Pet"
388,0.0,0.31417432843834076,0.1403060247357575,"",0.0,0.20833333333333331,0.003745318352059925,"(20, 30]","",0.16550699310520178,1.0,0.0,"MILANO","LOMBARDIA","20078",0.0275547541276578,0.0,0.0,0.0,0.0,1.0,1.0,0.15179886396554249,0.0003133032599247161,0.013851772322378254,0.005601653955214153,0.022573051346615598,0.0005663016288079994,0.0011300703678030991,0.03559542786330485,0.2130727124412053,0.0,0.00031445149741552315,2.9137713742141326e-05,0.5551532536380459,"V-Auto"
11377,0.0,0.15508605384695165,0.026559704491338865,"",1.0,0.060546875,0.00037453183520599247,"(50, 60]",0.3132530120481928,0.03691885695315898,0.0,0.0,"TERAMO","ABRUZZI","64100",0.158291660292423,0.0,0.0,0.0,0.0,0.0,0.0,0.00035945348621140727,0.0,0.003832205731289647,0.13436493881371478,0.0,0.0,3.1166201637799104e-08,0.8214102554210853,0.02075409102955761,0.0,4.9410135925307234e-05,4.060560794750304e-05,0.019189008608066885,"Non-Customer"
